Chr	Start	Stop	M_CA-TAC245-TAC245_MEC.prod-refalign	M_CA-TAC265-TAC265_MEC.prod-refalign
1	52176417	52176418	18	27
1	52176418	52176419	18	27
1	52176419	52176420	18	26
1	52176420	52176421	16	26
1	52176421	52176422	16	25
1	52176422	52176423	16	25
1	52176423	52176424	16	25
1	52176424	52176425	16	26
1	52176425	52176426	16	25
1	52176426	52176427	16	25
1	52176427	52176428	16	27
1	52176428	52176429	16	27
1	52176429	52176430	16	26
1	52176430	52176431	16	26
1	52176431	52176432	16	26
1	52176432	52176433	16	27
1	52176433	52176434	16	27
1	52176434	52176435	16	27
1	52176435	52176436	16	27
1	52176436	52176437	16	27
1	52176437	52176438	16	27
1	52176438	52176439	15	28
1	52176439	52176440	15	29
1	52176440	52176441	15	29
1	52176441	52176442	17	31
1	52176442	52176443	17	33
1	52176443	52176444	17	31
1	52176444	52176445	17	32
1	52176445	52176446	17	31
1	52176446	52176447	17	30
1	52176447	52176448	17	29
1	52176448	52176449	17	29
1	52176449	52176450	17	28
1	52176450	52176451	17	32
1	52176451	52176452	17	33
1	52176452	52176453	17	33
1	52176453	52176454	17	33
1	52176454	52176455	14	32
1	52176455	52176456	12	31
1	52176456	52176457	12	34
1	52176457	52176458	12	34
1	52176458	52176459	12	34
1	52176459	52176460	10	35
1	52176460	52176461	10	35
1	52176461	52176462	10	34
1	52176462	52176463	10	34
1	52176463	52176464	10	34
1	52176464	52176465	10	34
1	52176465	52176466	11	34
1	52176466	52176467	11	34
1	52176467	52176468	11	34
1	52176468	52176469	11	34
1	52176469	52176470	10	34
1	52176470	52176471	10	35
1	52176471	52176472	10	35
1	52176472	52176473	10	35
1	52176473	52176474	10	35
1	52176474	52176475	10	35
1	52176475	52176476	10	35
1	52176476	52176477	10	35
1	52176477	52176478	10	36
1	52176478	52176479	9	36
1	52176479	52176480	9	35
1	52176480	52176481	11	36
1	52176481	52176482	11	35
1	52176482	52176483	11	35
1	52176483	52176484	11	35
1	52176484	52176485	11	36
1	52176485	52176486	11	36
1	52176486	52176487	11	37
1	52176487	52176488	11	37
1	52176488	52176489	8	38
1	52176489	52176490	8	38
1	52176490	52176491	8	37
1	52176491	52176492	8	36
1	52176492	52176493	8	36
1	52176493	52176494	8	38
1	52176494	52176495	8	38
1	52176495	52176496	8	39
1	52176496	52176497	8	40
1	52176497	52176498	8	41
1	52176498	52176499	9	42
1	52176499	52176500	7	42
1	52176500	52176501	7	42
1	52176501	52176502	7	42
1	52176502	52176503	7	42
1	52176503	52176504	7	41
1	52176504	52176505	9	42
1	52176505	52176506	8	42
1	52176506	52176507	8	42
1	52176507	52176508	8	42
1	52176508	52176509	8	43
1	52176509	52176510	9	43
1	52176510	52176511	9	43
1	52176511	52176512	9	42
1	52176512	52176513	9	42
1	52176513	52176514	9	43
1	52176514	52176515	9	44
1	52176515	52176516	9	45
1	52176516	52176517	9	45
1	52176517	52176518	9	45
1	52176518	52176519	9	45
1	52176519	52176520	9	45
1	52176520	52176521	9	45
1	52176521	52176522	9	45
1	52176522	52176523	9	44
1	52176523	52176524	9	44
1	52176524	52176525	9	43
1	52176525	52176526	9	42
1	52176526	52176527	9	42
1	52176527	52176528	11	41
1	52176528	52176529	12	40
1	52176529	52176530	12	40
1	52176530	52176531	12	41
1	52176531	52176532	12	41
1	52176532	52176533	12	39
1	52176533	52176534	12	40
1	52176534	52176535	12	41
1	52176535	52176536	12	41
1	52176536	52176537	12	43
1	52176537	52176538	12	43
1	52176538	52176539	12	42
1	52176539	52176540	12	42
1	52176540	52176541	12	42
1	52176541	52176542	11	40
1	52176542	52176543	11	39
1	52176543	52176544	11	39
1	52176544	52176545	12	38
1	52176545	52176546	11	39
1	52176546	52176547	11	39
1	52176547	52176548	11	39
1	52176548	52176549	11	39
1	52176549	52176550	11	39
1	52176550	52176551	11	36
1	52176551	52176552	11	35
1	52176552	52176553	11	33
1	52176553	52176554	11	33
1	52176554	52176555	11	35
1	52176555	52176556	11	34
1	52176556	52176557	11	35
1	52176557	52176558	12	35
1	52176558	52176559	12	37
1	52176559	52176560	12	35
1	52176560	52176561	12	35
1	52176561	52176562	12	35
1	52176562	52176563	12	35
1	52176563	52176564	12	35
1	52176564	52176565	12	35
1	52176565	52176566	12	34
1	52176566	52176567	13	34
1	52176567	52176568	13	34
1	52176568	52176569	13	34
1	52176569	52176570	13	34
1	52176570	52176571	13	32
1	52176571	52176572	13	31
1	52176572	52176573	14	31
1	52176573	52176574	14	31
1	52176574	52176575	14	30
1	52176575	52176576	14	30
1	52176576	52176577	14	29
1	52176577	52176578	15	29
1	52176578	52176579	15	28
1	52176579	52176580	15	28
1	52176580	52176581	13	28
1	52176581	52176582	13	27
1	52176582	52176583	13	27
1	52176583	52176584	13	27
1	52176584	52176585	13	26
1	52176585	52176586	14	26
1	52176586	52176587	14	25
1	52176587	52176588	14	25
1	52176588	52176589	14	24
1	52176589	52176590	14	24
1	52176590	52176591	14	24
1	52176591	52176592	14	24
1	52176592	52176593	14	23
1	52176593	52176594	14	23
1	52176594	52176595	14	24
1	52176595	52176596	14	24
1	52176596	52176597	14	23
1	52176597	52176598	14	23
1	52176598	52176599	13	23
1	52176599	52176600	13	24
1	52176600	52176601	13	25
1	52176601	52176602	12	26
1	52176602	52176603	12	25
1	52176603	52176604	12	25
1	52176604	52176605	11	26
1	52176605	52176606	11	27
1	52176606	52176607	10	27
1	52176607	52176608	10	28
1	52176608	52176609	10	27
1	52176609	52176610	10	28
1	52176610	52176611	10	30
1	52176611	52176612	10	30
1	52176612	52176613	10	29
1	52176613	52176614	10	29
1	52176614	52176615	10	28
1	52176615	52176616	12	29
1	52176616	52176617	13	29
1	52176617	52176618	13	28
1	52176618	52176619	13	28
1	52176619	52176620	14	29
1	52176620	52176621	14	28
1	52176621	52176622	14	28
1	52176622	52176623	14	28
1	52176623	52176624	15	30
1	52176624	52176625	15	30
1	52176625	52176626	15	31
1	52176626	52176627	15	31
1	52176627	52176628	13	31
1	52176628	52176629	12	32
1	52176629	52176630	12	32
1	52176630	52176631	12	33
1	52176631	52176632	12	32
1	52176632	52176633	12	32
1	52176633	52176634	12	31
1	52176634	52176635	12	33
1	52176635	52176636	12	34
1	52176636	52176637	12	32
1	52176637	52176638	12	32
1	52176638	52176639	12	32
1	52176639	52176640	14	31
1	52176640	52176641	15	31
1	52176641	52176642	15	31
1	52176642	52176643	15	31
1	52176643	52176644	15	31
1	52176644	52176645	15	32
1	52176645	52176646	15	32
1	52176646	52176647	15	32
1	52176647	52176648	15	33
1	52176648	52176649	15	36
1	52176649	52176650	15	36
1	52176650	52176651	15	35
1	52176651	52176652	15	35
1	52176652	52176653	14	35
1	52176653	52176654	14	35
1	52176654	52176655	14	34
1	52176655	52176656	14	34
1	52176656	52176657	16	33
1	52176657	52176658	16	34
1	52176658	52176659	16	34
1	52176659	52176660	16	34
1	52176660	52176661	16	34
1	52176661	52176662	17	33
1	52176662	52176663	18	34
1	52176663	52176664	18	34
1	52176664	52176665	18	34
1	52176665	52176666	18	35
1	52176666	52176667	17	34
1	52176667	52176668	17	34
1	52176668	52176669	17	34
1	52176669	52176670	17	35
1	52176670	52176671	18	35
1	52176671	52176672	18	35
1	52176672	52176673	18	35
1	52176673	52176674	18	36
1	52176674	52176675	18	36
1	52176675	52176676	18	36
1	52176676	52176677	18	36
1	52176677	52176678	17	36
1	52176678	52176679	17	37
1	52176679	52176680	17	37
1	52176680	52176681	17	37
1	52176681	52176682	17	37
1	52176682	52176683	17	37
1	52176683	52176684	17	38
1	52176684	52176685	17	38
1	52176685	52176686	16	38
1	52176686	52176687	16	39
1	52176687	52176688	16	39
1	52176688	52176689	16	39
1	52176689	52176690	16	40
1	52176690	52176691	16	42
1	52176691	52176692	16	41
1	52176692	52176693	16	41
1	52176693	52176694	16	40
1	52176694	52176695	16	40
1	52176695	52176696	16	39
1	52176696	52176697	16	39
1	52176697	52176698	16	39
1	52176698	52176699	16	38
1	52176699	52176700	16	38
1	52176700	52176701	16	37
1	52176701	52176702	16	37
1	52176702	52176703	16	37
1	52176703	52176704	16	36
1	52176704	52176705	16	37
1	52176705	52176706	16	37
1	52176706	52176707	16	37
1	52176707	52176708	16	37
1	52176708	52176709	16	37
1	52176709	52176710	15	36
1	52176710	52176711	15	33
1	52176711	52176712	15	33
1	52176712	52176713	15	34
1	52176713	52176714	15	35
1	52176714	52176715	14	35
1	52176715	52176716	14	35
1	52176716	52176717	13	35
1	52176717	52176718	13	35
1	52176718	52176719	13	35
1	52176719	52176720	15	35
1	52176720	52176721	15	36
1	52176721	52176722	15	36
1	52176722	52176723	16	37
1	52176723	52176724	15	36
1	52176724	52176725	15	35
1	52176725	52176726	15	35
1	52176726	52176727	15	34
1	52176727	52176728	15	34
1	52176728	52176729	15	33
1	52176729	52176730	20	32
1	52176730	52176731	21	32
1	52176731	52176732	21	33
1	52176732	52176733	21	33
1	52176733	52176734	21	33
1	52176734	52176735	21	31
1	52176735	52176736	23	30
1	52176736	52176737	24	30
1	52176737	52176738	26	28
1	52176738	52176739	26	29
1	52176739	52176740	24	31
1	52176740	52176741	23	31
1	52176741	52176742	22	31
1	52176742	52176743	22	32
1	52176743	52176744	22	31
1	52176744	52176745	21	31
1	52176745	52176746	21	32
1	52176746	52176747	21	32
1	52176747	52176748	21	32
1	52176748	52176749	21	31
1	52176749	52176750	22	31
1	52176750	52176751	22	31
1	52176751	52176752	22	30
1	52176752	52176753	22	32
1	52176753	52176754	22	32
1	52176754	52176755	22	32
1	52176755	52176756	22	32
1	52176756	52176757	19	32
1	52176757	52176758	21	31
1	52176758	52176759	21	32
1	52176759	52176760	21	32
1	52176760	52176761	21	34
1	52176761	52176762	21	35
1	52176762	52176763	22	34
1	52176763	52176764	22	34
1	52176764	52176765	22	34
1	52176765	52176766	23	35
1	52176766	52176767	23	36
1	52176767	52176768	23	37
1	52176768	52176769	23	36
1	52176769	52176770	23	34
1	52176770	52176771	23	34
1	52176771	52176772	23	36
1	52176772	52176773	23	36
1	52176773	52176774	23	35
1	52176774	52176775	23	35
1	52176775	52176776	24	35
1	52176776	52176777	24	36
1	52176777	52176778	24	36
1	52176778	52176779	24	35
1	52176779	52176780	24	36
1	52176780	52176781	24	35
1	52176781	52176782	24	35
1	52176782	52176783	24	36
1	52176783	52176784	24	35
1	52176784	52176785	24	35
1	52176785	52176786	24	36
1	52176786	52176787	24	35
1	52176787	52176788	26	35
1	52176788	52176789	26	35
1	52176789	52176790	25	35
1	52176790	52176791	26	33
1	52176791	52176792	26	33
1	52176792	52176793	26	33
1	52176793	52176794	26	33
1	52176794	52176795	26	33
1	52176795	52176796	26	33
1	52176796	52176797	25	33
1	52176797	52176798	25	34
1	52176798	52176799	25	34
1	52176799	52176800	25	34
1	52176800	52176801	25	34
1	52176801	52176802	25	34
1	52176802	52176803	26	36
1	52176803	52176804	26	36
1	52176804	52176805	26	36
1	52176805	52176806	26	36
1	52176806	52176807	26	35
1	52176807	52176808	26	35
1	52176808	52176809	26	36
1	52176809	52176810	26	37
1	52176810	52176811	27	36
1	52176811	52176812	27	36
1	52176812	52176813	27	36
1	52176813	52176814	27	35
1	52176814	52176815	27	35
1	52176815	52176816	27	35
1	52176816	52176817	27	35
1	52176817	52176818	27	35
1	52176818	52176819	27	35
1	52176819	52176820	24	34
1	52176820	52176821	24	34
1	52176821	52176822	24	36
1	52176822	52176823	23	36
1	52176823	52176824	23	36
1	52176824	52176825	23	36
1	52176825	52176826	23	36
1	52176826	52176827	23	35
1	52176827	52176828	23	34
1	52176828	52176829	23	34
1	52176829	52176830	19	33
1	52176830	52176831	18	33
1	52176831	52176832	18	33
1	52176832	52176833	19	33
1	52176833	52176834	19	34
1	52176834	52176835	19	33
1	52176835	52176836	18	33
1	52176836	52176837	17	33
1	52176837	52176838	15	34
1	52176838	52176839	15	33
1	52176839	52176840	15	33
1	52176840	52176841	15	34
1	52176841	52176842	15	35
1	52176842	52176843	15	34
1	52176843	52176844	15	34
1	52176844	52176845	15	34
1	52176845	52176846	15	34
1	52176846	52176847	15	34
1	52176847	52176848	15	33
1	52176848	52176849	15	33
1	52176849	52176850	15	33
1	52176850	52176851	15	33
1	52176851	52176852	16	33
1	52176852	52176853	16	31
1	52176853	52176854	16	32
1	52176854	52176855	16	32
1	52176855	52176856	16	32
1	52176856	52176857	19	31
1	52176857	52176858	17	32
1	52176858	52176859	17	31
1	52176859	52176860	16	31
1	52176860	52176861	16	29
1	52176861	52176862	16	29
1	52176862	52176863	13	29
1	52176863	52176864	13	29
1	52176864	52176865	13	29
1	52176865	52176866	13	27
1	52176866	52176867	13	26
1	52176867	52176868	13	26
1	52176868	52176869	13	27
1	52176869	52176870	13	27
1	52176870	52176871	13	29
1	52176871	52176872	13	28
1	52176872	52176873	13	28
1	52176873	52176874	14	28
1	52176874	52176875	14	28
1	52176875	52176876	13	28
1	52176876	52176877	13	29
1	52176877	52176878	13	31
1	52176878	52176879	13	33
1	52176879	52176880	13	32
1	52176880	52176881	13	32
1	52176881	52176882	13	32
1	52176882	52176883	13	31
1	52176883	52176884	13	31
1	52176884	52176885	13	31
1	52176885	52176886	12	32
1	52176886	52176887	14	32
1	52176887	52176888	13	32
1	52176888	52176889	13	32
1	52176889	52176890	14	32
1	52176890	52176891	13	33
1	52176891	52176892	13	32
1	52176892	52176893	14	32
1	52176893	52176894	14	32
1	52176894	52176895	14	33
1	52176895	52176896	14	32
1	52176896	52176897	14	34
1	52176897	52176898	15	35
1	52176898	52176899	15	35
1	52176899	52176900	16	35
1	52176900	52176901	16	35
1	52176901	52176902	16	36
1	52176902	52176903	15	35
1	52176903	52176904	18	35
1	52176904	52176905	18	34
1	52176905	52176906	19	35
1	52176906	52176907	19	38
1	52176907	52176908	20	39
1	52176908	52176909	20	41
1	52176909	52176910	20	40
1	52176910	52176911	19	40
1	52176911	52176912	18	40
1	52176912	52176913	18	41
1	52176913	52176914	18	41
1	52176914	52176915	18	41
1	52176915	52176916	18	41
1	52176916	52176917	18	43
1	52176917	52176918	18	43
1	52176918	52176919	19	43
1	52176919	52176920	19	43
1	52176920	52176921	19	44
1	52176921	52176922	19	44
1	52176922	52176923	19	43
1	52176923	52176924	19	43
1	52176924	52176925	19	43
1	52176925	52176926	23	44
1	52176926	52176927	23	44
1	52176927	52176928	23	45
1	52176928	52176929	24	45
1	52176929	52176930	25	45
1	52176930	52176931	25	47
1	52176931	52176932	25	48
1	52176932	52176933	24	48
1	52176933	52176934	24	48
1	52176934	52176935	24	47
1	52176935	52176936	23	47
1	52176936	52176937	23	46
1	52176937	52176938	24	47
1	52176938	52176939	24	48
1	52176939	52176940	24	48
1	52176940	52176941	24	48
1	52176941	52176942	24	47
1	52176942	52176943	24	48
1	52176943	52176944	24	50
1	52176944	52176945	24	49
1	52176945	52176946	24	48
1	52176946	52176947	24	49
1	52176947	52176948	24	49
1	52176948	52176949	24	49
1	52176949	52176950	24	49
1	52176950	52176951	24	49
1	52176951	52176952	23	51
1	52176952	52176953	23	51
1	52176953	52176954	23	50
1	52176954	52176955	23	49
1	52176955	52176956	23	50
1	52176956	52176957	23	51
1	52176957	52176958	23	50
1	52176958	52176959	23	52
1	52176959	52176960	28	53
1	52176960	52176961	28	53
1	52176961	52176962	29	51
1	52176962	52176963	29	52
1	52176963	52176964	29	52
1	52176964	52176965	29	52
1	52176965	52176966	29	53
1	52176966	52176967	31	54
1	52176967	52176968	31	54
1	52176968	52176969	31	53
1	52176969	52176970	31	53
1	52176970	52176971	31	52
1	52176971	52176972	31	52
1	52176972	52176973	32	53
1	52176973	52176974	31	52
1	52176974	52176975	31	53
1	52176975	52176976	31	54
1	52176976	52176977	31	53
1	52176977	52176978	31	54
1	52176978	52176979	34	54
1	52176979	52176980	38	53
1	52176980	52176981	38	53
1	52176981	52176982	38	53
1	52176982	52176983	38	54
1	52176983	52176984	38	54
1	52176984	52176985	38	54
1	52176985	52176986	38	54
1	52176986	52176987	36	54
1	52176987	52176988	36	54
1	52176988	52176989	36	54
1	52176989	52176990	36	55
1	52176990	52176991	36	55
1	52176991	52176992	36	57
1	52176992	52176993	35	57
1	52176993	52176994	37	58
1	52176994	52176995	38	58
1	52176995	52176996	38	58
1	52176996	52176997	38	56
1	52176997	52176998	37	55
1	52176998	52176999	38	55
1	52176999	52177000	37	54
1	52177000	52177001	37	56
1	52177001	52177002	37	57
1	52177002	52177003	37	57
1	52177003	52177004	35	58
1	52177004	52177005	35	58
1	52177005	52177006	35	60
1	52177006	52177007	36	55
1	52177007	52177008	35	54
1	52177008	52177009	35	52
1	52177009	52177010	35	53
1	52177010	52177011	35	53
1	52177011	52177012	35	53
1	52177012	52177013	35	52
1	52177013	52177014	35	51
1	52177014	52177015	35	51
1	52177015	52177016	36	53
1	52177016	52177017	36	51
1	52177017	52177018	37	51
1	52177018	52177019	36	50
1	52177019	52177020	36	49
1	52177020	52177021	36	49
1	52177021	52177022	36	48
1	52177022	52177023	36	49
1	52177023	52177024	36	48
1	52177024	52177025	36	48
1	52177025	52177026	33	47
1	52177026	52177027	33	47
1	52177027	52177028	33	48
1	52177028	52177029	31	48
1	52177029	52177030	30	48
1	52177030	52177031	32	46
1	52177031	52177032	32	45
1	52177032	52177033	32	46
1	52177033	52177034	31	46
1	52177034	52177035	31	46
1	52177035	52177036	31	46
1	52177036	52177037	31	49
1	52177037	52177038	32	51
1	52177038	52177039	32	50
1	52177039	52177040	32	50
1	52177040	52177041	34	50
1	52177041	52177042	34	50
1	52177042	52177043	34	50
1	52177043	52177044	34	49
1	52177044	52177045	35	49
1	52177045	52177046	35	48
1	52177046	52177047	35	46
1	52177047	52177048	35	48
1	52177048	52177049	35	48
1	52177049	52177050	36	49
1	52177050	52177051	36	48
1	52177051	52177052	36	46
1	52177052	52177053	36	46
1	52177053	52177054	36	47
1	52177054	52177055	36	46
1	52177055	52177056	36	45
1	52177056	52177057	34	46
1	52177057	52177058	34	46
1	52177058	52177059	35	46
1	52177059	52177060	31	47
1	52177060	52177061	33	47
1	52177061	52177062	32	47
1	52177062	52177063	32	46
1	52177063	52177064	32	48
1	52177064	52177065	32	52
1	52177065	52177066	32	50
1	52177066	52177067	30	49
1	52177067	52177068	30	51
1	52177068	52177069	30	52
1	52177069	52177070	30	52
1	52177070	52177071	30	53
1	52177071	52177072	30	52
1	52177072	52177073	29	51
1	52177073	52177074	29	52
1	52177074	52177075	29	50
1	52177075	52177076	29	49
1	52177076	52177077	29	49
1	52177077	52177078	30	48
1	52177078	52177079	28	47
1	52177079	52177080	26	46
1	52177080	52177081	29	46
1	52177081	52177082	30	46
1	52177082	52177083	30	46
1	52177083	52177084	30	46
1	52177084	52177085	30	47
1	52177085	52177086	30	46
1	52177086	52177087	30	46
1	52177087	52177088	30	46
1	52177088	52177089	30	46
1	52177089	52177090	29	47
1	52177090	52177091	29	46
1	52177091	52177092	29	43
1	52177092	52177093	29	44
1	52177093	52177094	27	43
1	52177094	52177095	26	43
1	52177095	52177096	26	43
1	52177096	52177097	26	43
1	52177097	52177098	26	44
1	52177098	52177099	26	44
1	52177099	52177100	26	45
1	52177100	52177101	26	44
1	52177101	52177102	26	43
1	52177102	52177103	26	42
1	52177103	52177104	25	41
1	52177104	52177105	24	40
1	52177105	52177106	23	41
1	52177106	52177107	23	41
1	52177107	52177108	23	42
1	52177108	52177109	23	42
1	52177109	52177110	23	41
1	52177110	52177111	23	41
1	52177111	52177112	23	41
1	52177112	52177113	23	42
1	52177113	52177114	23	43
1	52177114	52177115	23	44
1	52177115	52177116	23	42
1	52177116	52177117	24	42
1	52177117	52177118	23	42
1	52177118	52177119	23	41
1	52177119	52177120	23	41
1	52177120	52177121	23	40
1	52177121	52177122	23	43
1	52177122	52177123	24	42
1	52177123	52177124	24	41
1	52177124	52177125	24	41
1	52177125	52177126	23	41
1	52177126	52177127	23	41
1	52177127	52177128	23	40
1	52177128	52177129	23	40
1	52177129	52177130	23	38
1	52177130	52177131	23	39
1	52177131	52177132	23	39
1	52177132	52177133	23	39
1	52177133	52177134	24	38
1	52177134	52177135	24	38
1	52177135	52177136	27	37
1	52177136	52177137	27	36
1	52177137	52177138	27	35
1	52177138	52177139	27	35
1	52177139	52177140	27	35
1	52177140	52177141	25	36
1	52177141	52177142	25	36
1	52177142	52177143	25	36
1	52177143	52177144	25	37
1	52177144	52177145	24	39
1	52177145	52177146	24	39
1	52177146	52177147	24	39
1	52177147	52177148	24	37
1	52177148	52177149	26	38
1	52177149	52177150	25	38
1	52177150	52177151	25	38
1	52177151	52177152	25	38
1	52177152	52177153	25	38
1	52177153	52177154	25	38
1	52177154	52177155	25	38
1	52177155	52177156	25	38
1	52177156	52177157	25	40
1	52177157	52177158	25	41
1	52177158	52177159	24	41
1	52177159	52177160	23	40
1	52177160	52177161	22	40
1	52177161	52177162	23	41
1	52177162	52177163	23	44
1	52177163	52177164	24	43
1	52177164	52177165	32	41
1	52177165	52177166	33	42
1	52177166	52177167	33	42
1	52177167	52177168	33	41
1	52177168	52177169	33	41
1	52177169	52177170	33	41
1	52177170	52177171	33	40
1	52177171	52177172	33	40
1	52177172	52177173	33	40
1	52177173	52177174	33	40
1	52177174	52177175	33	40
1	52177175	52177176	33	40
1	52177176	52177177	33	40
1	52177177	52177178	32	41
1	52177178	52177179	31	42
1	52177179	52177180	30	42
1	52177180	52177181	27	42
1	52177181	52177182	26	43
1	52177182	52177183	27	43
1	52177183	52177184	27	43
1	52177184	52177185	27	44
1	52177185	52177186	27	44
1	52177186	52177187	27	44
1	52177187	52177188	27	44
1	52177188	52177189	28	44
1	52177189	52177190	28	44
1	52177190	52177191	28	44
1	52177191	52177192	28	44
1	52177192	52177193	29	43
1	52177193	52177194	29	43
1	52177194	52177195	30	43
1	52177195	52177196	30	45
1	52177196	52177197	30	45
1	52177197	52177198	30	43
1	52177198	52177199	30	43
1	52177199	52177200	30	41
1	52177200	52177201	30	42
1	52177201	52177202	30	42
1	52177202	52177203	31	42
1	52177203	52177204	31	42
1	52177204	52177205	31	43
1	52177205	52177206	31	43
1	52177206	52177207	31	42
1	52177207	52177208	32	42
1	52177208	52177209	32	42
1	52177209	52177210	32	41
1	52177210	52177211	32	41
1	52177211	52177212	32	41
1	52177212	52177213	32	40
1	52177213	52177214	32	40
1	52177214	52177215	33	42
1	52177215	52177216	32	42
1	52177216	52177217	31	43
1	52177217	52177218	31	42
1	52177218	52177219	34	42
1	52177219	52177220	34	42
1	52177220	52177221	35	42
1	52177221	52177222	35	41
1	52177222	52177223	35	42
1	52177223	52177224	35	42
1	52177224	52177225	35	42
1	52177225	52177226	35	42
1	52177226	52177227	35	43
1	52177227	52177228	35	44
1	52177228	52177229	35	45
1	52177229	52177230	35	45
1	52177230	52177231	34	46
1	52177231	52177232	34	46
1	52177232	52177233	34	46
1	52177233	52177234	33	46
1	52177234	52177235	33	47
1	52177235	52177236	30	47
1	52177236	52177237	30	47
1	52177237	52177238	29	48
1	52177238	52177239	29	48
1	52177239	52177240	29	48
1	52177240	52177241	29	46
1	52177241	52177242	29	46
1	52177242	52177243	29	44
1	52177243	52177244	29	42
1	52177244	52177245	29	42
1	52177245	52177246	29	42
1	52177246	52177247	29	42
1	52177247	52177248	29	44
1	52177248	52177249	27	43
1	52177249	52177250	27	43
1	52177250	52177251	27	43
1	52177251	52177252	27	44
1	52177252	52177253	27	44
1	52177253	52177254	27	43
1	52177254	52177255	27	43
1	52177255	52177256	28	44
1	52177256	52177257	28	42
1	52177257	52177258	29	41
1	52177258	52177259	29	42
1	52177259	52177260	29	41
1	52177260	52177261	28	42
1	52177261	52177262	27	41
1	52177262	52177263	28	37
1	52177263	52177264	27	37
1	52177264	52177265	22	40
1	52177265	52177266	24	40
1	52177266	52177267	24	40
1	52177267	52177268	24	40
1	52177268	52177269	24	40
1	52177269	52177270	24	40
1	52177270	52177271	24	39
1	52177271	52177272	24	40
